,Age,Fare,Parch,PassengerId,Pclass,Sex,Survived,Embarked_Q,Embarked_S,FamilySize,IsAlone,Has_Cabin,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
64,28.0,2,0,65,1,1,0.0,0,0,1,1,0,0,1,0,0
65,28.0,2,1,66,3,1,1.0,0,0,3,0,0,0,0,0,0
66,29.0,1,0,67,2,0,1.0,0,1,1,1,1,0,0,1,0
67,19.0,1,0,68,3,1,0.0,0,1,1,1,0,0,1,0,0
68,17.0,1,2,69,3,0,1.0,0,1,7,0,0,1,0,0,0
69,26.0,1,0,70,3,1,0.0,0,1,3,0,0,0,1,0,0
70,32.0,1,0,71,2,1,0.0,0,1,1,1,0,0,1,0,0
71,16.0,3,2,72,3,0,0.0,0,1,8,0,0,1,0,0,0
72,21.0,3,0,73,2,1,0.0,0,1,1,1,0,0,1,0,0
73,26.0,2,0,74,3,1,0.0,0,0,2,0,0,0,1,0,0
74,32.0,3,0,75,3,1,1.0,0,1,1,1,0,0,1,0,0
75,25.0,0,0,76,3,1,0.0,0,1,1,1,1,0,1,0,0
76,28.0,0,0,77,3,1,0.0,0,1,1,1,0,0,1,0,0
77,28.0,1,0,78,3,1,0.0,0,1,1,1,0,0,1,0,0
78,0.83,2,2,79,2,1,1.0,0,1,3,0,0,0,0,0,0
79,30.0,1,0,80,3,0,1.0,0,1,1,1,0,1,0,0,0
80,22.0,1,0,81,3,1,0.0,0,1,1,1,0,0,1,0,0
81,29.0,1,0,82,3,1,1.0,0,1,1,1,0,0,1,0,0
82,28.0,0,0,83,3,0,1.0,1,0,1,1,0,1,0,0,0
83,28.0,3,0,84,1,1,0.0,0,1,1,1,0,0,1,0,0
84,17.0,1,0,85,2,0,1.0,0,1,1,1,0,1,0,0,0
85,33.0,2,0,86,3,0,1.0,0,1,4,0,0,0,0,1,0
86,16.0,3,3,87,3,1,0.0,0,1,5,0,0,0,1,0,0
87,28.0,1,0,88,3,1,0.0,0,1,1,1,0,0,1,0,0
88,23.0,3,2,89,1,0,1.0,0,1,6,0,1,1,0,0,0
89,24.0,1,0,90,3,1,0.0,0,1,1,1,0,0,1,0,0
90,29.0,1,0,91,3,1,0.0,0,1,1,1,0,0,1,0,0
91,20.0,0,0,92,3,1,0.0,0,1,1,1,0,0,1,0,0
92,46.0,3,0,93,1,1,0.0,0,1,2,0,1,0,1,0,0
93,26.0,2,2,94,3,1,0.0,0,1,4,0,0,0,1,0,0
94,59.0,0,0,95,3,1,0.0,0,1,1,1,0,0,1,0,0
95,28.0,1,0,96,3,1,0.0,0,1,1,1,0,0,1,0,0
96,71.0,3,0,97,1,1,0.0,0,0,1,1,1,0,1,0,0
97,23.0,3,1,98,1,1,1.0,0,0,2,0,1,0,1,0,0
98,34.0,2,1,99,2,0,1.0,0,1,2,0,0,0,0,1,0
99,34.0,2,0,100,2,1,0.0,0,1,2,0,0,0,1,0,0
100,28.0,0,0,101,3,0,0.0,0,1,1,1,0,1,0,0,0
101,28.0,0,0,102,3,1,0.0,0,1,1,1,0,0,1,0,0
102,21.0,3,1,103,1,1,0.0,0,1,2,0,1,0,1,0,0
103,33.0,1,0,104,3,1,0.0,0,1,1,1,0,0,1,0,0
104,37.0,1,0,105,3,1,0.0,0,1,3,0,0,0,1,0,0
105,28.0,0,0,106,3,1,0.0,0,1,1,1,0,0,1,0,0
106,21.0,0,0,107,3,0,1.0,0,1,1,1,0,1,0,0,0
107,28.0,0,0,108,3,1,1.0,0,1,1,1,0,0,1,0,0
108,38.0,0,0,109,3,1,0.0,0,1,1,1,0,0,1,0,0
109,28.0,2,0,110,3,0,1.0,1,0,2,0,0,1,0,0,0
110,47.0,3,0,111,1,1,0.0,0,1,1,1,1,0,1,0,0
111,14.5,2,0,112,3,0,0.0,0,0,2,0,0,1,0,0,0
112,22.0,1,0,113,3,1,0.0,0,1,1,1,0,0,1,0,0
113,20.0,1,0,114,3,0,0.0,0,1,2,0,0,1,0,0,0
114,17.0,2,0,115,3,0,0.0,0,0,1,1,0,1,0,0,0
115,21.0,1,0,116,3,1,0.0,0,1,1,1,0,0,1,0,0
116,70.5,0,0,117,3,1,0.0,1,0,1,1,0,0,1,0,0
117,29.0,2,0,118,2,1,0.0,0,1,2,0,0,0,1,0,0
118,24.0,3,1,119,1,1,0.0,0,0,2,0,1,0,1,0,0
119,2.0,3,2,120,3,0,0.0,0,1,7,0,0,1,0,0,0
120,21.0,3,0,121,2,1,0.0,0,1,3,0,0,0,1,0,0
121,28.0,1,0,122,3,1,0.0,0,1,1,1,0,0,1,0,0
122,32.5,2,0,123,2,1,0.0,0,0,2,0,0,0,1,0,0
123,32.5,1,0,124,2,0,1.0,0,1,1,1,1,1,0,0,0
124,54.0,3,1,125,1,1,0.0,0,1,2,0,1,0,1,0,0
125,12.0,1,0,126,3,1,1.0,0,0,2,0,0,0,0,0,0
126,28.0,0,0,127,3,1,0.0,1,0,1,1,0,0,1,0,0
127,24.0,0,0,128,3,1,1.0,0,1,1,1,0,0,1,0,0
128,28.0,2,1,129,3,0,1.0,0,0,3,0,1,1,0,0,0
129,45.0,0,0,130,3,1,0.0,0,1,1,1,0,0,1,0,0
130,33.0,0,0,131,3,1,0.0,0,0,1,1,0,0,1,0,0
131,20.0,0,0,132,3,1,0.0,0,1,1,1,0,0,1,0,0
132,47.0,2,0,133,3,0,0.0,0,1,2,0,0,0,0,1,0
133,29.0,2,0,134,2,0,1.0,0,1,2,0,0,0,0,1,0
134,25.0,1,0,135,2,1,0.0,0,1,1,1,0,0,1,0,0
135,23.0,2,0,136,2,1,0.0,0,0,1,1,0,0,1,0,0
136,19.0,2,2,137,1,0,1.0,0,1,3,0,1,1,0,0,0
137,37.0,3,0,138,1,1,0.0,0,1,2,0,1,0,1,0,0
138,16.0,1,0,139,3,1,0.0,0,1,1,1,0,0,1,0,0
139,24.0,3,0,140,1,1,0.0,0,0,1,1,1,0,1,0,0
140,28.0,2,2,141,3,0,0.0,0,0,3,0,0,0,0,1,0
141,22.0,0,0,142,3,0,1.0,0,1,1,1,0,1,0,0,0
142,24.0,2,0,143,3,0,1.0,0,1,2,0,0,0,0,1,0
143,19.0,0,0,144,3,1,0.0,1,0,1,1,0,0,1,0,0
144,18.0,1,0,145,2,1,0.0,0,1,1,1,0,0,1,0,0
145,19.0,3,1,146,2,1,0.0,0,1,3,0,0,0,1,0,0
146,27.0,0,0,147,3,1,1.0,0,1,1,1,0,0,1,0,0
147,9.0,3,2,148,3,0,0.0,0,1,5,0,0,1,0,0,0
148,36.5,2,2,149,2,1,0.0,0,1,3,0,1,0,1,0,0
149,42.0,1,0,150,2,1,0.0,0,1,1,1,0,0,0,0,1
150,51.0,1,0,151,2,1,0.0,0,1,1,1,0,0,0,0,1
151,22.0,3,0,152,1,0,1.0,0,1,2,0,1,0,0,1,0
152,55.5,1,0,153,3,1,0.0,0,1,1,1,0,0,1,0,0
153,40.5,2,2,154,3,1,0.0,0,1,3,0,0,0,1,0,0
154,28.0,0,0,155,3,1,0.0,0,1,1,1,0,0,1,0,0
155,51.0,3,1,156,1,1,0.0,0,0,2,0,0,0,1,0,0
156,16.0,0,0,157,3,0,1.0,1,0,1,1,0,1,0,0,0
157,30.0,1,0,158,3,1,0.0,0,1,1,1,0,0,1,0,0
158,28.0,1,0,159,3,1,0.0,0,1,1,1,0,0,1,0,0
159,28.0,3,2,160,3,1,0.0,0,1,11,0,0,0,0,0,0
160,44.0,2,1,161,3,1,0.0,0,1,2,0,0,0,1,0,0
161,40.0,2,0,162,2,0,1.0,0,1,1,1,0,0,0,1,0
162,26.0,0,0,163,3,1,0.0,0,1,1,1,0,0,1,0,0
163,17.0,1,0,164,3,1,0.0,0,1,1,1,0,0,1,0,0
164,1.0,3,1,165,3,1,0.0,0,1,6,0,0,0,0,0,0
165,9.0,2,2,166,3,1,1.0,0,1,3,0,0,0,0,0,0
166,28.0,3,1,167,1,0,1.0,0,1,2,0,1,0,0,1,0
167,45.0,2,4,168,3,0,0.0,0,1,6,0,0,0,0,1,0
168,28.0,2,0,169,1,1,0.0,0,1,1,1,0,0,1,0,0
169,28.0,3,0,170,3,1,0.0,0,1,1,1,0,0,1,0,0
170,61.0,3,0,171,1,1,0.0,0,1,1,1,1,0,1,0,0
171,4.0,2,1,172,3,1,0.0,1,0,6,0,0,0,0,0,0
172,1.0,1,1,173,3,0,1.0,0,1,3,0,0,1,0,0,0
173,21.0,1,0,174,3,1,0.0,0,1,1,1,0,0,1,0,0
174,56.0,2,0,175,1,1,0.0,0,0,1,1,1,0,1,0,0
175,18.0,0,1,176,3,1,0.0,0,1,3,0,0,0,1,0,0
176,28.0,2,1,177,3,1,0.0,0,1,5,0,0,0,0,0,0
177,50.0,2,0,178,1,0,0.0,0,0,1,1,1,1,0,0,0
178,30.0,1,0,179,2,1,0.0,0,1,1,1,0,0,1,0,0
179,36.0,0,0,180,3,1,0.0,0,1,1,1,0,0,1,0,0
180,28.0,3,2,181,3,0,0.0,0,1,11,0,0,1,0,0,0
181,28.0,2,0,182,2,1,0.0,0,0,1,1,0,0,1,0,0
182,9.0,3,2,183,3,1,0.0,0,1,7,0,0,0,0,0,0
183,1.0,3,1,184,2,1,1.0,0,1,4,0,1,0,0,0,0
184,4.0,2,2,185,3,0,1.0,0,1,3,0,0,1,0,0,0
185,28.0,3,0,186,1,1,0.0,0,1,1,1,1,0,1,0,0
186,28.0,2,0,187,3,0,1.0,1,0,2,0,0,0,0,1,0
187,45.0,2,0,188,1,1,1.0,0,1,1,1,0,0,1,0,0
188,40.0,2,1,189,3,1,0.0,1,0,3,0,0,0,1,0,0
189,36.0,0,0,190,3,1,0.0,0,1,1,1,0,0,1,0,0
190,32.0,1,0,191,2,0,1.0,0,1,1,1,0,0,0,1,0
191,19.0,1,0,192,2,1,0.0,0,1,1,1,0,0,1,0,0
192,19.0,0,0,193,3,0,1.0,0,1,2,0,0,1,0,0,0
193,3.0,2,1,194,2,1,1.0,0,1,3,0,1,0,0,0,0
194,44.0,2,0,195,1,0,1.0,0,0,1,1,1,0,0,1,0
195,58.0,3,0,196,1,0,1.0,0,0,1,1,1,1,0,0,0
196,28.0,0,0,197,3,1,0.0,1,0,1,1,0,0,1,0,0
197,42.0,1,1,198,3,1,0.0,0,1,2,0,0,0,1,0,0
198,28.0,0,0,199,3,0,1.0,1,0,1,1,0,1,0,0,0
199,24.0,1,0,200,2,0,0.0,0,1,1,1,0,1,0,0,0
200,28.0,1,0,201,3,1,0.0,0,1,1,1,0,0,1,0,0
201,28.0,3,2,202,3,1,0.0,0,1,11,0,0,0,1,0,0
202,34.0,0,0,203,3,1,0.0,0,1,1,1,0,0,1,0,0
203,45.5,0,0,204,3,1,0.0,0,0,1,1,0,0,1,0,0
204,18.0,1,0,205,3,1,1.0,0,1,1,1,0,0,1,0,0
205,2.0,1,1,206,3,0,0.0,0,1,2,0,1,1,0,0,0
206,32.0,2,0,207,3,1,0.0,0,1,2,0,0,0,1,0,0
207,26.0,2,0,208,3,1,1.0,0,0,1,1,0,0,1,0,0
208,16.0,0,0,209,3,0,1.0,1,0,1,1,0,1,0,0,0
209,40.0,2,0,210,1,1,1.0,0,0,1,1,1,0,1,0,0
210,24.0,0,0,211,3,1,0.0,0,1,1,1,0,0,1,0,0
211,35.0,2,0,212,2,0,1.0,0,1,1,1,0,1,0,0,0
212,22.0,0,0,213,3,1,0.0,0,1,1,1,0,0,1,0,0
213,30.0,1,0,214,2,1,0.0,0,1,1,1,0,0,1,0,0
214,28.0,0,0,215,3,1,0.0,1,0,2,0,0,0,1,0,0
215,31.0,3,0,216,1,0,1.0,0,0,2,0,1,1,0,0,0
216,27.0,1,0,217,3,0,1.0,0,1,1,1,0,1,0,0,0
217,42.0,2,0,218,2,1,0.0,0,1,2,0,0,0,1,0,0
218,32.0,3,0,219,1,0,1.0,0,0,1,1,1,1,0,0,0
219,30.0,1,0,220,2,1,0.0,0,1,1,1,0,0,1,0,0
220,16.0,1,0,221,3,1,1.0,0,1,1,1,0,0,1,0,0
221,27.0,1,0,222,2,1,0.0,0,1,1,1,0,0,1,0,0
222,51.0,1,0,223,3,1,0.0,0,1,1,1,0,0,1,0,0
223,28.0,0,0,224,3,1,0.0,0,1,1,1,0,0,1,0,0
224,38.0,3,0,225,1,1,1.0,0,1,2,0,1,0,1,0,0
225,22.0,1,0,226,3,1,0.0,0,1,1,1,0,0,1,0,0
226,19.0,1,0,227,2,1,1.0,0,1,1,1,0,0,1,0,0
227,20.5,0,0,228,3,1,0.0,0,1,1,1,0,0,1,0,0
228,18.0,1,0,229,2,1,0.0,0,1,1,1,0,0,1,0,0
229,28.0,2,1,230,3,0,0.0,0,1,5,0,0,1,0,0,0
230,35.0,3,0,231,1,0,1.0,0,1,2,0,1,0,0,1,0
231,29.0,0,0,232,3,1,0.0,0,1,1,1,0,0,1,0,0
232,59.0,1,0,233,2,1,0.0,0,1,1,1,0,0,1,0,0
233,5.0,3,2,234,3,0,1.0,0,1,7,0,0,1,0,0,0
234,24.0,1,0,235,2,1,0.0,0,1,1,1,0,0,1,0,0
235,28.0,0,0,236,3,0,0.0,0,1,1,1,0,1,0,0,0
236,44.0,2,0,237,2,1,0.0,0,1,2,0,0,0,1,0,0
237,8.0,2,2,238,2,0,1.0,0,1,3,0,0,1,0,0,0
238,19.0,1,0,239,2,1,0.0,0,1,1,1,0,0,1,0,0
239,33.0,1,0,240,2,1,0.0,0,1,1,1,0,0,1,0,0
240,28.0,2,0,241,3,0,0.0,0,0,2,0,0,1,0,0,0
241,28.0,2,0,242,3,0,1.0,1,0,2,0,0,1,0,0,0
242,29.0,1,0,243,2,1,0.0,0,1,1,1,0,0,1,0,0
243,22.0,0,0,244,3,1,0.0,0,1,1,1,0,0,1,0,0
244,30.0,0,0,245,3,1,0.0,0,0,1,1,0,0,1,0,0
245,44.0,3,0,246,1,1,0.0,1,0,3,0,1,0,0,0,1
246,25.0,0,0,247,3,0,0.0,0,1,1,1,0,1,0,0,0
247,24.0,2,2,248,2,0,1.0,0,1,3,0,0,0,0,1,0
248,37.0,3,1,249,1,1,1.0,0,1,3,0,1,0,1,0,0
249,54.0,2,0,250,2,1,0.0,0,1,2,0,0,0,0,0,1
250,28.0,0,0,251,3,1,0.0,0,1,1,1,0,0,1,0,0
251,29.0,1,1,252,3,0,0.0,0,1,3,0,1,0,0,1,0
252,62.0,2,0,253,1,1,0.0,0,1,1,1,1,0,1,0,0
253,30.0,2,0,254,3,1,0.0,0,1,2,0,0,0,1,0,0
254,41.0,2,2,255,3,0,0.0,0,1,3,0,0,0,0,1,0
255,29.0,2,2,256,3,0,1.0,0,0,3,0,0,0,0,1,0
256,28.0,3,0,257,1,0,1.0,0,0,1,1,0,0,0,1,0
257,30.0,3,0,258,1,0,1.0,0,1,1,1,1,1,0,0,0
258,35.0,3,0,259,1,0,1.0,0,0,1,1,0,1,0,0,0
259,50.0,2,1,260,2,0,1.0,0,1,2,0,0,0,0,1,0
260,28.0,0,0,261,3,1,0.0,1,0,1,1,0,0,1,0,0
261,3.0,3,2,262,3,1,1.0,0,1,7,0,0,0,0,0,0
262,52.0,3,1,263,1,1,0.0,0,1,3,0,1,0,1,0,0
263,40.0,0,0,264,1,1,0.0,0,1,1,1,1,0,1,0,0
264,28.0,0,0,265,3,0,0.0,1,0,1,1,0,1,0,0,0
265,36.0,1,0,266,2,1,0.0,0,1,1,1,0,0,1,0,0
266,16.0,3,1,267,3,1,0.0,0,1,6,0,0,0,1,0,0
267,25.0,0,0,268,3,1,1.0,0,1,2,0,0,0,1,0,0
268,58.0,3,1,269,1,0,1.0,0,1,2,0,1,0,0,1,0
269,35.0,3,0,270,1,0,1.0,0,1,1,1,1,1,0,0,0
270,28.0,2,0,271,1,1,0.0,0,1,1,1,0,0,1,0,0
271,25.0,0,0,272,3,1,1.0,0,1,1,1,0,0,1,0,0
272,41.0,2,1,273,2,0,1.0,0,1,2,0,0,0,0,1,0
273,37.0,2,1,274,1,1,0.0,0,0,2,0,1,0,1,0,0
274,28.0,0,0,275,3,0,1.0,1,0,1,1,0,1,0,0,0
275,63.0,3,0,276,1,0,1.0,0,1,2,0,1,1,0,0,0
276,45.0,0,0,277,3,0,0.0,0,1,1,1,0,1,0,0,0
277,28.0,0,0,278,2,1,0.0,0,1,1,1,0,0,1,0,0
278,7.0,2,1,279,3,1,0.0,1,0,6,0,0,0,0,0,0
279,35.0,2,1,280,3,0,1.0,0,1,3,0,0,0,0,1,0
280,65.0,0,0,281,3,1,0.0,1,0,1,1,0,0,1,0,0
281,28.0,0,0,282,3,1,0.0,0,1,1,1,0,0,1,0,0
282,16.0,1,0,283,3,1,0.0,0,1,1,1,0,0,1,0,0
283,19.0,1,0,284,3,1,1.0,0,1,1,1,0,0,1,0,0
284,28.0,2,0,285,1,1,0.0,0,1,1,1,1,0,1,0,0
285,33.0,1,0,286,3,1,0.0,0,0,1,1,0,0,1,0,0
286,30.0,1,0,287,3,1,1.0,0,1,1,1,0,0,1,0,0
287,22.0,0,0,288,3,1,0.0,0,1,1,1,0,0,1,0,0
288,42.0,1,0,289,2,1,1.0,0,1,1,1,0,0,1,0,0
289,22.0,0,0,290,3,0,1.0,1,0,1,1,0,1,0,0,0
290,26.0,3,0,291,1,0,1.0,0,1,1,1,0,1,0,0,0
291,19.0,3,0,292,1,0,1.0,0,0,2,0,1,0,0,1,0
292,36.0,1,0,293,2,1,0.0,0,0,1,1,1,0,1,0,0
293,24.0,1,0,294,3,0,0.0,0,1,1,1,0,1,0,0,0
294,24.0,0,0,295,3,1,0.0,0,1,1,1,0,0,1,0,0
295,28.0,2,0,296,1,1,0.0,0,0,1,1,0,0,1,0,0
296,23.5,0,0,297,3,1,0.0,0,0,1,1,0,0,1,0,0
297,2.0,3,2,298,1,0,0.0,0,1,4,0,1,1,0,0,0
298,28.0,2,0,299,1,1,1.0,0,1,1,1,1,0,1,0,0
299,50.0,3,1,300,1,0,1.0,0,0,2,0,1,0,0,1,0
300,28.0,0,0,301,3,0,1.0,1,0,1,1,0,1,0,0,0
301,28.0,2,0,302,3,1,1.0,1,0,3,0,0,0,1,0,0
302,19.0,0,0,303,3,1,0.0,0,1,1,1,0,0,1,0,0
303,28.0,1,0,304,2,0,1.0,1,0,1,1,1,1,0,0,0
304,28.0,1,0,305,3,1,0.0,0,1,1,1,0,0,1,0,0
305,0.92,3,2,306,1,1,1.0,0,1,4,0,1,0,0,0,0
306,28.0,3,0,307,1,0,1.0,0,0,1,1,0,1,0,0,0
307,17.0,3,0,308,1,0,1.0,0,0,2,0,1,0,0,1,0
308,30.0,2,0,309,2,1,0.0,0,0,2,0,0,0,1,0,0
309,30.0,3,0,310,1,0,1.0,0,0,1,1,1,1,0,0,0
310,24.0,3,0,311,1,0,1.0,0,0,1,1,1,1,0,0,0
311,18.0,3,2,312,1,0,1.0,0,0,5,0,1,1,0,0,0
312,26.0,2,1,313,2,0,0.0,0,1,3,0,0,0,0,1,0
313,28.0,0,0,314,3,1,0.0,0,1,1,1,0,0,1,0,0
314,43.0,2,1,315,2,1,0.0,0,1,3,0,0,0,1,0,0
315,26.0,0,0,316,3,0,1.0,0,1,1,1,0,1,0,0,0
316,24.0,2,0,317,2,0,1.0,0,1,2,0,0,0,0,1,0
317,54.0,1,0,318,2,1,0.0,0,1,1,1,0,0,0,0,1
318,31.0,3,2,319,1,0,1.0,0,1,3,0,1,1,0,0,0
319,40.0,3,1,320,1,0,1.0,0,0,3,0,1,0,0,1,0
320,22.0,0,0,321,3,1,0.0,0,1,1,1,0,0,1,0,0
321,27.0,0,0,322,3,1,0.0,0,1,1,1,0,0,1,0,0
322,30.0,1,0,323,2,0,1.0,1,0,1,1,0,1,0,0,0
323,22.0,2,1,324,2,0,1.0,0,1,3,0,0,0,0,1,0
324,28.0,3,2,325,3,1,0.0,0,1,11,0,0,0,1,0,0
325,36.0,3,0,326,1,0,1.0,0,0,1,1,1,1,0,0,0
326,61.0,0,0,327,3,1,0.0,0,1,1,1,0,0,1,0,0
327,36.0,1,0,328,2,0,1.0,0,1,1,1,1,0,0,1,0
328,31.0,2,1,329,3,0,1.0,0,1,3,0,0,0,0,1,0
329,16.0,3,1,330,1,0,1.0,0,0,2,0,1,1,0,0,0
330,28.0,2,0,331,3,0,1.0,1,0,3,0,0,1,0,0,0
331,45.5,2,0,332,1,1,0.0,0,1,1,1,1,0,1,0,0
332,38.0,3,1,333,1,1,0.0,0,1,2,0,1,0,1,0,0
333,16.0,2,0,334,3,1,0.0,0,1,3,0,0,0,1,0,0
334,28.0,3,0,335,1,0,1.0,0,1,2,0,0,0,0,1,0
335,28.0,0,0,336,3,1,0.0,0,1,1,1,0,0,1,0,0
336,29.0,3,0,337,1,1,0.0,0,1,2,0,1,0,1,0,0
337,41.0,3,0,338,1,0,1.0,0,0,1,1,1,1,0,0,0
338,45.0,1,0,339,3,1,1.0,0,1,1,1,0,0,1,0,0
339,45.0,3,0,340,1,1,0.0,0,1,1,1,1,0,1,0,0
340,2.0,2,1,341,2,1,1.0,0,1,3,0,1,0,0,0,0
341,24.0,3,2,342,1,0,1.0,0,1,6,0,1,1,0,0,0
342,28.0,1,0,343,2,1,0.0,0,1,1,1,0,0,1,0,0
343,25.0,1,0,344,2,1,0.0,0,1,1,1,0,0,1,0,0
344,36.0,1,0,345,2,1,0.0,0,1,1,1,0,0,1,0,0
345,24.0,1,0,346,2,0,1.0,0,1,1,1,1,1,0,0,0
346,40.0,1,0,347,2,0,1.0,0,1,1,1,0,1,0,0,0
347,28.0,2,0,348,3,0,1.0,0,1,2,0,0,0,0,1,0
348,3.0,2,1,349,3,1,1.0,0,1,3,0,0,0,0,0,0
349,42.0,1,0,350,3,1,0.0,0,1,1,1,0,0,1,0,0
350,23.0,1,0,351,3,1,0.0,0,1,1,1,0,0,1,0,0
351,28.0,3,0,352,1,1,0.0,0,1,1,1,1,0,1,0,0
352,15.0,0,1,353,3,1,0.0,0,0,3,0,0,0,1,0,0
353,25.0,2,0,354,3,1,0.0,0,1,2,0,0,0,1,0,0
354,28.0,0,0,355,3,1,0.0,0,0,1,1,0,0,1,0,0
355,28.0,1,0,356,3,1,0.0,0,1,1,1,0,0,1,0,0
356,22.0,3,1,357,1,0,1.0,0,1,2,0,1,1,0,0,0
357,38.0,1,0,358,2,0,0.0,0,1,1,1,0,1,0,0,0
358,28.0,0,0,359,3,0,1.0,1,0,1,1,0,1,0,0,0
359,28.0,0,0,360,3,0,1.0,1,0,1,1,0,1,0,0,0
360,40.0,2,4,361,3,1,0.0,0,1,6,0,0,0,1,0,0
361,29.0,2,0,362,2,1,0.0,0,0,2,0,0,0,1,0,0
362,45.0,2,1,363,3,0,0.0,0,0,2,0,0,0,0,1,0
